;features;attribute_group;attribute;globus_attr_group_to_use;attribute_group_eng;attribute_eng;show
0;absatzart-blockabsatz;absatzart;blockabsatz;['globus:pim.accessoires.absatzart'];heel;block heels;Y
1;absatzart-flach;absatzart;flach;['globus:pim.accessoires.absatzart'];heel;flat;Y
2;anlass-abend;anlass;abend;['globus:pim.damenfashion.anlass'];occasion;evening;Y
3;anlass-business;anlass;business;['globus:pim.damenfashion.anlass'];occasion;business;Y
4;anlass-casual;anlass;casual;['globus:pim.damenfashion.anlass'];occasion;casual;Y
5;anlass-freizeit;anlass;freizeit;['globus:pim.kinder.anlass'];occasion;freetime;Y
6;anthrazit;attribute not known;anthrazit;;attribute not known;;N
7;armabschluss-manschettenmiteinemknopf;armabschluss;manschettenmiteinemknopf;['globus:pim.damenfashion.armabschluss'];cuff;;N
8;armabschluss-mitverstellbarenmanschetten;armabschluss;mitverstellbarenmanschetten;['globus:pim.damenfashion.armabschluss'];cuff;;N
9;armelform-raglanarmel;armelform;raglanarmel;['globus:pim.damenfashion.armelform'];form of sleeves;;N
10;armellange-34armlange;armellange;34armlange;['globus:pim.damenfashion.armellange'];length of sleeves;3/4 arm length;Y
11;armellange-kurzarm;armellange;kurzarm;['globus:pim.damenfashion.armellange'];length of sleeves;short;Y
12;armellange-langarm;armellange;langarm;['globus:pim.damenfashion.armellange'];length of sleeves;long;Y
13;armellange-ohnearm;armellange;ohnearm;['globus:pim.damenfashion.armellange'];length of sleeves;without  sleeves;Y
14;ausschnittkragenform-blusenkragen;ausschnittkragenform;blusenkragen;['globus:pim.damenfashion.ausschnittkragenform'];neck line;blouse ;Y
15;ausschnittkragenform-kapuzenkragen;ausschnittkragenform;kapuzenkragen;['globus:pim.damenfashion.ausschnittkragenform'];neck line;;N
16;ausschnittkragenform-polokragen;ausschnittkragenform;polokragen;['globus:pim.damenfashion.ausschnittkragenform'];neck line;shirt collar;Y
17;ausschnittkragenform-rundhalsausschnitt;ausschnittkragenform;rundhalsausschnitt;['globus:pim.damenfashion.ausschnittkragenform'];neck line;rounded;Y
18;ausschnittkragenform-stehkragen;ausschnittkragenform;stehkragen;['globus:pim.damenfashion.ausschnittkragenform'];neck line;stand collar;Y
