,features,attribute_group,attribute,globus_attr_group
6,anthrazit,attribute not known,anthrazit,[]
20,beidesaison,attribute not known,beidesaison,[]
21,beige,attribute not known,beige,[]
35,bordeaux,attribute not known,bordeaux,[]
36,braun,attribute not known,braun,[]
47,ecru,attribute not known,ecru,[]
52,futtermaterial-L18,futtermaterial,L18,[]
53,futtermaterial-PES,futtermaterial,PES,[]
54,futtermaterial-textil,futtermaterial,textil,[]
58,grün,attribute not known,grün,[]
59,hellblau,attribute not known,hellblau,[]
72,klein gemustert,attribute not known,klein gemustert,[]
79,material-CAC,material,CAC,[]
80,material-CMD,material,CMD,[]
81,material-CO,material,CO,[]
82,material-CV,material,CV,[]
83,material-EL,material,EL,[]
84,material-L1,material,L1,[]
85,material-L18,material,L18,[]
86,material-L2,material,L2,[]
87,material-LI,material,LI,[]
88,material-MER,material,MER,[]
89,material-PA,material,PA,[]
90,material-PES,material,PES,[]
91,material-PU,material,PU,[]
92,material-SE,material,SE,[]
93,material-WO,material,WO,[]
124,offwhite,attribute not known,offwhite,[]
129,pink,attribute not known,pink,[]
142,regularfit,attribute not known,regularfit,[]
144,rosa,attribute not known,rosa,[]
149,slimfit,attribute not known,slimfit,[]
150,sommer,attribute not known,sommer,[]
151,tailliert,attribute not known,tailliert,[]
183,winter,attribute not known,winter,[]
