,features,attribute_group,attribute,globus_attr_group
24,besonderheiten-applikationen,besonderheiten,applikationen,"['globus:pim.herrenfashion.besonderheiten', 'globus:pim.damenfashion.besonderheiten']"
26,besonderheiten-glitzerapplikationen,besonderheiten,glitzerapplikationen,"['globus:pim.accessoires.besonderheiten', 'globus:pim.damenfashion.besonderheiten']"
33,bleichen-0,bleichen,0,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.bleichen', 'globus:pim.general.pflegehinweis.trocknen']"
34,bleichen-2,bleichen,2,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.bleichen', 'globus:pim.general.pflegehinweis.trocknen']"
38,buegeln-0,buegeln,0,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.nassReinigen']"
39,buegeln-1,buegeln,1,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.nassReinigen']"
40,buegeln-2,buegeln,2,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln']"
42,chemReinigen-0,chemReinigen,0,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.nassReinigen']"
43,chemReinigen-3,chemReinigen,3,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.nassReinigen']"
46,decksohle-textil,decksohle,textil,"['globus:pim.accessoires.decksohle', 'globus:pim.heimhaushalt.qualitatkorb']"
54,futtermaterial-textil,futtermaterial,textil,"['globus:pim.accessoires.laufsohle', 'globus:pim.heimhaushalt.qualitaetduschvorhang']"
99,musterung-unifarben,musterung,unifarben,"['globus:pim.damenfashion.musterung', 'globus:pim.damenfashion.navmusterung']"
100,nassReinigen-0,nassReinigen,0,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.nassReinigen']"
136,qualitaet-kunstleder,qualitaet,kunstleder,"['globus:pim.heimhaushalt.qualitaet', 'globus:pim.accessoires.laufsohle']"
141,rahmengenaht-False,rahmengenaht,False,"['globus:pim.heimhaushalt.nachfullflasche', 'globus:pim.heimhaushalt.rollen', 'globus:pim.heimhaushalt.handytasche', 'globus:pim.heimhaushalt.schulterriemen', 'globus:pim.heimhaushalt.tarafunktion', 'globus:pim.heimhaushalt.doppelwandig', 'globus:pim.heimhaushalt.teesieb', 'globus:pim.lingerie.bugel', 'globus:pim.beauty.sonnenpflege', 'globus:pim.heimhaushalt.ofenfest', 'globus:pim.blockgalaxusoutput', 'globus:pim.heimhaushalt.antihaft', 'globus:pim.heimhaushalt.lesezeichenband', 'globus:pim.heimhaushalt.geldscheinfach', 'globus:pim.heimhaushalt.led', 'globus:pim.heimhaushalt.handbemalt', 'globus:pim.heimhaushalt.temperaturregler', 'globus:pim.heimhaushalt.kratzfest', 'globus:pim.heimhaushalt.beschichteteskochgeschirr', 'globus:pim.accessoires.rahmengenaht', 'globus:pim.heimhaushalt.handgefertigt', 'globus:pim.heimhaushalt.durchgefarbt', 'globus:pim.heimhaushalt.naturlicheinhaltstoffe', 'globus:pim.kinder.reversible', 'globus:pim.heimhaushalt.antirutschbelag', 'globus:pim.delicatessa.superfood', 'globus:pim.delicatessa.geschenkidee', 'globus:pim.heimhaushalt.reversible', 'globus:pim.heimhaushalt.klingenschutz', 'globus:pim.heimhaushalt.passepartout', 'globus:pim.heimhaushalt.ringlocher', 'globus:pim.heimhaushalt.gefrierfest', 'globus:pim.heimhaushalt.gerauschreduktion', 'globus:pim.heimhaushalt.bluetooth', 'globus:pim.webshop.preishit', 'globus:pim.kinder.verstellbarerbund', 'globus:pim.heimhaushalt.allergikergeeignet', 'globus:pim.heimhaushalt.briefumschlag', 'globus:pim.beauty.kaltlufttaste', 'globus:pim.kinder.kinderuvschutz', 'globus:pim.heimhaushalt.integrierterblitz']"
155,trocknen-0,trocknen,0,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.trocknen']"
156,trocknen-1,trocknen,1,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.trocknen']"
157,trocknen-2,trocknen,2,"['globus:pim.general.pflegehinweis.chemReinigen', 'globus:pim.general.pflegehinweis.buegeln', 'globus:pim.general.pflegehinweis.trocknen']"
167,waschen-0,waschen,0,"['globus:pim.general.pflegehinweis.waschen', 'globus:pim.general.pflegehinweis.bleichen', 'globus:pim.general.pflegehinweis.trocknen']"
168,waschen-1,waschen,1,"['globus:pim.general.pflegehinweis.waschen', 'globus:pim.general.pflegehinweis.bleichen', 'globus:pim.general.pflegehinweis.trocknen']"
169,waschen-2,waschen,2,"['globus:pim.general.pflegehinweis.waschen', 'globus:pim.general.pflegehinweis.bleichen', 'globus:pim.general.pflegehinweis.trocknen']"
170,waschen-3,waschen,3,"['globus:pim.general.pflegehinweis.waschen', 'globus:pim.general.pflegehinweis.buegeln']"
